external_match_no,stage,group_code,home_code,away_code,home_placeholder,away_placeholder,kickoff_at_utc,venue_code
# WC 2026 — 104 fixtures from the FIFA published schedule (final draw Dec 5/6, 2025).
# Group stage matches 1-72 (June 11-27, 2026); knockout matches 73-104 (June 28 - July 19, 2026).
# Source: en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A..L + 2026_FIFA_World_Cup_knockout_stage
#   + 2026_FIFA_World_Cup_final (final, match 104, July 19 at MetLife Stadium 3pm UTC-4).
# All kickoff_at_utc converted from local time (with each venue's local timezone) to UTC.
# Knockout placeholders preserve FIFA's actual bracket wiring:
#   - R32 (M73-M88): mixes WINNER_GROUP_X, RUNNER_UP_GROUP_X, and THIRD_PLACE_1..8 (the 8 best third-placed teams).
#   - R16 (M89-M96): pairings encoded as R32_M{i}_W per the FIFA-published bracket
#     (e.g. R16 M1 = R32_M2_W vs R32_M5_W, NOT M1 vs M2 — bracket structure differs from naive sequential pairing).
#   - QF (M97-M100), SF (M101-M102), 3rd-place (M103), Final (M104) — winners feed forward.
# Venue codes (3-letter): MEX=Mexico City, GDL=Guadalajara, MTY=Monterrey, TOR=Toronto, VAN=Vancouver,
#   LAX=Inglewood/SoFi (Los Angeles), SEA=Seattle, SFO=Santa Clara (SF Bay), DAL=Arlington (Dallas),
#   HOU=Houston, KAN=Kansas City, ATL=Atlanta, MIA=Miami Gardens, PHI=Philadelphia, BOS=Foxborough (Boston),
#   NYC=East Rutherford/MetLife (New York/New Jersey).
# === MATCHDAY 1 (June 11-17, 2026) ===
1,group,A,MEX,RSA,,,2026-06-11T19:00:00Z,MEX
2,group,A,KOR,CZE,,,2026-06-12T02:00:00Z,GDL
3,group,B,CAN,BIH,,,2026-06-12T19:00:00Z,TOR
4,group,D,USA,PAR,,,2026-06-13T01:00:00Z,LAX
5,group,C,HAI,SCO,,,2026-06-14T01:00:00Z,BOS
6,group,D,AUS,TUR,,,2026-06-14T04:00:00Z,VAN
7,group,C,BRA,MAR,,,2026-06-13T22:00:00Z,NYC
8,group,B,QAT,SUI,,,2026-06-13T19:00:00Z,SFO
9,group,E,CIV,ECU,,,2026-06-14T23:00:00Z,PHI
10,group,E,GER,CUW,,,2026-06-14T17:00:00Z,HOU
11,group,F,NED,JPN,,,2026-06-14T20:00:00Z,DAL
12,group,F,SWE,TUN,,,2026-06-15T02:00:00Z,MTY
13,group,H,KSA,URU,,,2026-06-15T22:00:00Z,MIA
14,group,H,ESP,CPV,,,2026-06-15T16:00:00Z,ATL
15,group,G,IRN,NZL,,,2026-06-16T01:00:00Z,LAX
16,group,G,BEL,EGY,,,2026-06-15T19:00:00Z,SEA
17,group,I,FRA,SEN,,,2026-06-16T19:00:00Z,NYC
18,group,I,IRQ,NOR,,,2026-06-16T22:00:00Z,BOS
19,group,J,ARG,ALG,,,2026-06-17T01:00:00Z,KAN
20,group,J,AUT,JOR,,,2026-06-17T04:00:00Z,SFO
21,group,L,GHA,PAN,,,2026-06-17T23:00:00Z,TOR
22,group,L,ENG,CRO,,,2026-06-17T20:00:00Z,DAL
23,group,K,POR,COD,,,2026-06-17T17:00:00Z,HOU
24,group,K,UZB,COL,,,2026-06-18T02:00:00Z,MEX
# === MATCHDAY 2 (June 18-23, 2026) ===
25,group,A,CZE,RSA,,,2026-06-18T16:00:00Z,ATL
26,group,B,SUI,BIH,,,2026-06-18T19:00:00Z,LAX
27,group,B,CAN,QAT,,,2026-06-18T22:00:00Z,VAN
28,group,A,MEX,KOR,,,2026-06-19T01:00:00Z,GDL
29,group,C,BRA,HAI,,,2026-06-20T00:30:00Z,PHI
30,group,C,SCO,MAR,,,2026-06-19T22:00:00Z,BOS
31,group,D,TUR,PAR,,,2026-06-20T03:00:00Z,SFO
32,group,D,USA,AUS,,,2026-06-19T19:00:00Z,SEA
33,group,E,GER,CIV,,,2026-06-20T20:00:00Z,TOR
34,group,E,ECU,CUW,,,2026-06-21T00:00:00Z,KAN
35,group,F,NED,SWE,,,2026-06-20T17:00:00Z,HOU
36,group,F,TUN,JPN,,,2026-06-21T04:00:00Z,MTY
37,group,H,URU,CPV,,,2026-06-21T22:00:00Z,MIA
38,group,H,ESP,KSA,,,2026-06-21T16:00:00Z,ATL
39,group,G,BEL,IRN,,,2026-06-21T19:00:00Z,LAX
40,group,G,NZL,EGY,,,2026-06-22T01:00:00Z,VAN
41,group,I,NOR,SEN,,,2026-06-23T00:00:00Z,NYC
42,group,I,FRA,IRQ,,,2026-06-22T21:00:00Z,PHI
43,group,J,ARG,AUT,,,2026-06-22T17:00:00Z,DAL
44,group,J,JOR,ALG,,,2026-06-23T03:00:00Z,SFO
